Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Fairlie Aws,37255,H40075,-44.03774,170.77051,403,H,Metservice
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Combined Daily Data at 9am local ("Form 301" Extended)
(Note the max temperature, rainfall and radiation have been put back a day as is standard for a Form 301.
Also note that non standard row charges apply. For details search the help on "f301").
Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),WD_Rel,WS_Rel,WindRun_Rel,Rain_Rel,Tdry_Rel,Twet_Rel,Tmax_Rel,Tmin_Rel,Tgmin_Rel,ET05_Rel,ET10_Rel,ET20_Rel,ET30_Rel,ET100_Rel,Pmsl_Rel,Pstn_Rel,Sun_Rel,Rad_Rel
Fairlie Aws,20170101:0000,270,2.1,250,15.4,424,1.6,23.9,16.9,46.0,27.7,11.8,-,-,-,-,-,-,989.7,945.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170102:0000,113,4.6,80,10.3,250,1.6,8.2,7.6,91.4,9.9,8.0,-,-,-,-,-,-,1014.1,966.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170103:0000,297,0.5,160,11.3,162,0.4,8.6,8.1,92.7,18.6,7.8,-,-,-,-,-,-,1006.5,959.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170104:0000,19,1.9,213,14.4,377,0.4,12.5,10.7,78.7,14.9,8.6,-,-,-,-,-,-,1002.6,956.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170105:0000,244,2.9,234,11.8,248,0.0,10.4,5.6,41.3,15.5,5.3,-,-,-,-,-,-,1018.2,970.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170106:0000,183,1.2,279,13.9,285,1.0,12.8,9.7,64.2,21.1,3.6,-,-,-,-,-,-,1008.3,961.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170107:0000,139,1.1,122,7.2,182,1.4,7.4,6.9,92.8,14.1,4.9,-,-,-,-,-,-,1009.2,961.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170108:0000,273,1.6,272,14.4,282,0.0,11.1,8.9,72.7,22.0,5.1,-,-,-,-,-,-,1004.4,957.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170109:0000,137,2.4,123,5.7,155,0.0,10.3,9.1,84.6,16.8,9.2,-,-,-,-,-,-,1006.0,959.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairlie Aws,20170110:0000,144,1.7,146,7.7,176,0.0,13.9,12.3,81.6,16.6,10.2,-,-,-,-,-,-,1008.7,962.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
