id,longitude,latitude,time,B2,B3,B4,B8,B8A,B11,B12,timestamp
20180827T222541_20180827T222807_T59GMM,170.89195130552548,-43.99916820582472,1535408903936,4736.0,4740.0,4860.0,5200.0,4952.0,2279,2201,2018-08-28 10:28:23
20181213T223659_20181213T223656_T59GMM,170.89195130552548,-43.99916820582472,1544740695731,2820.0,2856.0,2520.0,4092.0,3668.0,3210,2712,2018-12-14 10:38:15
20181215T222531_20181215T222536_T59GMM,170.89195130552548,-43.99916820582472,1544912896000,8296.0,7728.0,7332.0,7500.0,7387.0,5445,4006,2018-12-16 10:28:16
20181218T223651_20181218T223734_T59GMM,170.89195130552548,-43.99916820582472,1545172693000,6828.0,6904.0,7032.0,7560.0,7387.0,3890,2775,2018-12-19 10:38:13
20181220T222539_20181220T222533_T59GMM,170.89195130552548,-43.99916820582472,1545344900000,1778.0,2002.0,2068.0,3174.0,3622.0,2822,2394,2018-12-21 10:28:20
20181223T223659_20181223T223658_T59GMM,170.89195130552548,-43.99916820582472,1545604697000,45.0,82.0,28.0,1.0,32.0,110,85,2018-12-24 10:38:17
20181225T222531_20181225T222541_T59GMM,170.89195130552548,-43.99916820582472,1545776898000,11776.0,10712.0,10096.0,9608.0,9263.0,5664,4132,2018-12-26 10:28:18
20181228T223701_20181228T223736_T59GMM,170.89195130552548,-43.99916820582472,1546036695000,1.0,1.0,1.0,1.0,,111,85,2018-12-29 10:38:15
20181230T222539_20181230T222535_T59GMM,170.89195130552548,-43.99916820582472,1546208902000,64.0,42.0,20.0,1.0,1.0,102,98,2018-12-31 10:28:22
20190102T223659_20190102T223700_T59GMM,170.89195130552548,-43.99916820582472,1546468699000,180.0,212.0,195.0,155.0,215.0,259,234,2019-01-03 10:38:19
20190104T222531_20190104T222532_T59GMM,170.89195130552548,-43.99916820582472,1546640900000,1.0,1.0,1.0,1.0,1.0,118,108,2019-01-05 10:28:20
20190107T223701_20190107T223722_T59GMM,170.89195130552548,-43.99916820582472,1546900697000,151.0,147.0,87.0,73.0,45.0,142,123,2019-01-08 10:38:17
20190109T222539_20190109T222536_T59GMM,170.89195130552548,-43.99916820582472,1547072904000,4988.0,4588.0,4296.0,4516.0,4900.0,3545,2583,2019-01-10 10:28:24
20190112T223659_20190112T223701_T59GMM,170.89195130552548,-43.99916820582472,1547332701000,9632.0,9088.0,8712.0,9160.0,8295.0,4006,4551,2019-01-13 10:38:21
20190114T222531_20190114T222533_T59GMM,170.89195130552548,-43.99916820582472,1547504901410,3798.0,3530.0,3270.0,4268.0,3903.0,2968,2374,2019-01-15 10:28:21
20190117T223701_20190117T223658_T59GMM,170.89195130552548,-43.99916820582472,1547764698000,7104.0,6668.0,6476.0,7144.0,7096.0,5537,4485,2019-01-18 10:38:18
20190119T222539_20190119T222537_T59GMM,170.89195130552548,-43.99916820582472,1547936905000,1.0,1.0,1.0,1.0,1.0,112,68,2019-01-20 10:28:25
20190122T223659_20190122T223702_T59GMM,170.89195130552548,-43.99916820582472,1548196702000,179.0,253.0,168.0,1.0,51.0,172,154,2019-01-23 10:38:22
20190124T222531_20190124T222534_T59GMM,170.89195130552548,-43.99916820582472,1548368902000,3190.0,2204.0,2358.0,4612.0,4764.0,3684,3037,2019-01-25 10:28:22
20190127T223701_20190127T223659_T59GMM,170.89195130552548,-43.99916820582472,1548628698000,3186.0,3252.0,3190.0,3862.0,4113.0,3925,3436,2019-01-28 10:38:18
20190129T222539_20190129T222538_T59GMM,170.89195130552548,-43.99916820582472,1548800905000,1250.0,1238.0,1156.0,1826.0,1793.0,1275,1024,2019-01-30 10:28:25
20190201T223659_20190201T223702_T59GMM,170.89195130552548,-43.99916820582472,1549060702000,99.0,144.0,66.0,32.0,50.0,130,70,2019-02-02 10:38:22
20190203T222531_20190203T222534_T59GMM,170.89195130552548,-43.99916820582472,1549232902000,1.0,1.0,1.0,1.0,1.0,111,124,2019-02-04 10:28:22
20190206T223701_20190206T223659_T59GMM,170.89195130552548,-43.99916820582472,1549492698000,5356.0,5112.0,5020.0,5856.0,5523.0,4493,3593,2019-02-07 10:38:18
20190208T222539_20190208T222538_T59GMM,170.89195130552548,-43.99916820582472,1549664905000,1.0,1.0,1.0,1.0,1.0,99,96,2019-02-09 10:28:25
20190211T223659_20190211T223702_T59GMM,170.89195130552548,-43.99916820582472,1549924702000,1.0,32.0,1.0,1.0,1.0,108,100,2019-02-12 10:38:22
20190213T222531_20190213T222534_T59GMM,170.89195130552548,-43.99916820582472,1550096902000,2836.0,2802.0,2730.0,3670.0,3450.0,2264,2001,2019-02-14 10:28:22
20190216T223701_20190216T223659_T59GMM,170.89195130552548,-43.99916820582472,1550356698000,1.0,51.0,3.0,1.0,1.0,101,92,2019-02-17 10:38:18
20190218T222429_20190218T222423_T59GMM,170.89195130552548,-43.99916820582472,1550528905000,167.0,221.0,183.0,265.0,259.0,416,323,2019-02-19 10:28:25
20190221T223439_20190221T223550_T59GMM,170.89195130552548,-43.99916820582472,1550788701000,4376.0,4240.0,4164.0,4760.0,4770.0,4727,4661,2019-02-22 10:38:21
20190223T222531_20190223T222533_T59GMM,170.89195130552548,-43.99916820582472,1550960901000,7292.0,6856.0,6616.0,6852.0,6619.0,3668,3122,2019-02-24 10:28:21
